id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ANKRD30B	402.254891924036	8.42988551169517	0.729870197884006	11.5498420625127	7.39562174419447e-31	4.68596136449896e-28
NMRK2	6508.33965268073	8.16825267561195	0.718794612883481	11.3638201082846	6.33141538339703e-30	3.10904152401711e-27
PCP4	1336.02588905546	8.01575157627341	0.742279270395866	10.7988352847285	3.48597363908237e-27	1.44599541655669e-24
ERVFRD-1	557.081386306058	7.71041273180786	0.773583629938314	9.96713533405909	2.1226274787416e-23	5.85998532191894e-21
ELSPBP1	784.735085556794	7.66103910498474	0.766439536220788	9.9956209758702	1.59285732867443e-23	4.5343338622932e-21
XAGE1B	1169.26199547692	7.54455094853908	0.775862100321622	9.72408749623367	2.38029948178087e-22	5.48172462259719e-20
TRIM63	920.860274632957	7.43025021391953	0.772451480254052	9.61905103926502	6.64412774940499e-22	1.38833997078524e-19
XAGE1E	1177.75549548472	7.34719149535548	0.812063074926711	9.04756258744872	1.4619509183768e-19	2.29725119510056e-17
HHIP	248.202336416674	6.99740892892062	0.579616936447391	12.0724714702255	1.47632784119351e-33	1.31809233894195e-30
CPA6	394.037754660457	6.90428752966289	0.577799564152668	11.9492778430664	6.54918390363508e-33	5.59300305370436e-30
UNC5D	316.115565567987	6.90059446713319	0.75464644895119	9.14414223604133	6.01049428284653e-20	1.01774248882476e-17
LOC105378610	340.431826072383	6.81162727321993	0.677698853317572	10.051112289588	9.08362790133665e-24	2.74493260366238e-21
LYPD6B	210.64403063511	6.78633497141429	0.779288298324843	8.7083753034688	3.08261200205944e-18	4.11895679894228e-16
PLPP7	25.4496589553115	6.71094521212768	0.521246687122858	12.8747968628257	6.2403044316505e-38	8.1714706430986e-35
CHRNA1	412.053543809204	6.6926519731633	0.885736273429402	7.55603239240799	4.15550398714361e-14	2.62451476898633e-12
CYP17A1	6328.59239979858	6.68531279754016	0.692655335940554	9.65171630196452	4.83398086784825e-22	1.04339617809094e-19
CTCFL	260.832380575347	6.59221412051971	0.855937300990549	7.70174884642923	1.34216490549532e-14	9.38178045328794e-13
ZNF549	61.6913762203197	6.49965940128698	0.792403147292085	8.20246540349891	2.35506527336949e-16	2.23469527050838e-14
RIMBP2	246.972183709834	6.49121280526473	0.895730488146848	7.24683695727966	4.2661699370297e-13	2.15414164275417e-11
NETO1	70.2115058583238	6.45851788333971	0.821299210367674	7.86378192236226	3.72706175417544e-15	2.81565180675054e-13
TBX18	42.7012056640594	6.44226559407721	0.89021861587088	7.23672306916981	4.59655365569777e-13	2.29151032754354e-11
KIF1A	34.2267955182565	6.39792692244916	0.756057676821804	8.46222069901301	2.6233345831231e-17	3.03103164010023e-15
MAL	916.110792941852	6.37958537626447	0.486191110260621	13.1215590775502	2.47784277096146e-39	3.47641340765893e-36
SLC38A8	669.118087775728	6.24182499179827	0.818568257732433	7.62529567062513	2.43475681477954e-14	1.63779086835273e-12
LINC01629	34.2976733030381	6.22158586272245	0.812855887232901	7.653983886248	1.94846703620017e-14	1.32428337456898e-12
ADGRE1	218.911752226871	6.20727461833456	0.702822483066507	8.83192380421783	1.02890528880901e-18	1.45393940163932e-16
LOC105371811	54.0730854320893	6.20345372168761	0.858503701251903	7.22589047972827	4.97828837883222e-13	2.46171023213023e-11
SLC14A1	2344.49341675861	6.12053105528766	0.679267389516916	9.01048857893866	2.05140515187458e-19	3.09951538408619e-17
LOC107984764	38.0165251324682	6.10493963755157	0.865057021344057	7.05726846545469	1.69807367346384e-12	7.33045342729161e-11
LOC644554	28.3130086707323	6.09256291809412	0.882073970411087	6.90708843301963	4.94701577529124e-12	1.93564310474643e-10
